doi,satis,confirm,ideal,comp,handle,nocomp
172,8,9,8,,,1
2024-06-20,7,6,6,,,1
2024-12-09,9,8,7,,,1
2024-04-15,9,8,7,,,1
226,8,6,6,,,1
85,8,6,7,,,1
115,8,9,8,,,1
2024-11-14,9,8,9,,,1
2024-06-01,8,7,8,,,1
2024-06-22,9,9,7,,,1
43,8,6,6,,,1
2024-03-03,8,6,6,,,1
2024-06-30,8,7,7,,,1
356,7,6,7,,,1
140,8,6,5,,,1
363,9,9,7,,,1
2024-10-26,9,7,7,,,1
45,8,6,7,,,1
2024-02-26,8,6,6,,,1
2024-05-28,8,7,7,,,1
206,8,6,5,,,1
2024-08-10,8,6,6,,,1
128,8,6,5,,,1
2024-12-04,7,6,8,,,1
2024-07-30,7,5,6,,,1
2024-02-12,7,6,5,,,1
308,8,7,7,,,1
2024-11-14,8,7,7,,,1
2024-10-31,6,5,5,,,1
201,6,7,5,,,1
92,5,3,5,,,1
2024-08-11,7,8,6,,,1
111,7,5,5,,,1
250,6,7,5,,,1
2024-07-06,9,7,7,,,1
186,8,8,8,,,1
4,8,6,6,,,1
2024-07-11,8,9,8,,,1
2024-08-09,8,10,8,,,1
163,5,6,5,,,1
155,7,7,7,1,6,
283,5,5,4,,,1
221,7,7,6,,,1
2024-09-15,9,8,8,,,1
262,8,8,7,,,1
2024-06-18,6,6,5,,,1
63,10,8,8,,,1
2024-06-22,4,4,3,,,1
310,5,6,5,,,1
2024-10-29,8,6,6,,,2
2024-08-02,8,7,7,,,1
167,10,7,8,,,1
2024-07-11,8,7,9,,,1
2024-04-06,7,7,9,,,1
2024-09-26,6,8,7,,,1
327,7,7,8,,,1
2024-04-08,9,8,8,,,1
241,5,5,,,,1
180,7,9,7,,,1
177,10,8,7,,,1
347,9,7,6,,,1
108,4,5,3,,,1
2024-08-18,7,6,7,,,1
2024-04-07,6,7,6,,,1
2024-06-09,8,9,7,,,1
2024-05-26,7,8,7,,,1
2024-09-06,6,7,4,,,1
2024-03-21,7,9,6,,,1
2024-01-16,9,9,7,,,1
202,7,7,7,,,1
234,9,9,,,,1
202,5,6,5,,,1
307,6,7,5,,,1
2024-07-18,5,6,5,,,1
2024-03-18,9,7,9,,,1
2024-06-02,7,8,9,,,1
2024-06-17,7,8,7,,,1
2024-01-19,7,8,6,,,1
316,6,6,6,,,1
2024-03-08,7,8,9,,,1
2024-04-28,7,8,6,,,1
22,8,8,8,,,1
2024-05-04,8,8,10,,,1
189,7,8,,,,1
210,5,4,4,1,5,
117,4,5,4,1,4,
2024-11-15,10,10,9,,,1
2024-05-31,7,6,6,1,8,
165,6,6,,,,1
2024-01-08,8,9,6,,,1
2024-09-27,9,9,8,,,1
2024-08-22,8,8,8,,,1
362,9,6,7,,,1
14,9,7,7,,,1
2024-03-18,9,8,6,,,1
2024-12-12,9,6,4,,,1
2024-02-08,5,4,4,1,5,
2024-09-07,6,7,7,,,1
2024-02-10,5,5,3,1,3,
2024-06-28,9,10,6,,,1
46,7,7,7,1,9,
2024-02-28,7,7,4,,,1
2024-06-02,7,4,6,,,2
226,8,7,8,,,1
306,8,7,7,,,1
122,6,7,6,,,1
57,7,8,7,,,1
284,8,7,8,,,1
2024-06-04,8,8,6,,,1
290,8,6,6,,,1
257,6,7,6,,,1
2024-02-17,6,5,2,1,4,
2024-07-14,7,6,7,,,1
2024-04-15,8,8,,,,1
304,7,8,7,,,1
2024-04-20,7,5,5,1,6,
2024-01-05,9,9,8,,,1
2024-02-27,5,4,2,1,5,
2024-09-28,9,8,8,,,1
91,7,6,6,,,1
8,5,7,,,,1
2024-05-10,8,8,7,,,1
2024-09-20,6,7,6,1,5,
2024-07-14,9,9,9,,,1
2024-07-07,7,8,7,,,1
356,9,10,8,,,1
121,5,6,,,,1
2024-09-22,9,7,9,,,1
235,7,8,7,,,1
16,9,8,9,,,1
106,8,9,7,,,1
118,6,5,6,,,1
272,9,8,,,,1
2024-10-05,8,7,7,,,1
2024-07-27,6,7,7,,,1
2024-07-25,9,10,8,,,1
41,9,8,8,,,1
318,8,8,8,,,1
8,7,6,,,,1
183,4,4,2,1,,
161,9,6,7,,,1
2024-09-12,7,8,7,,,1
2024-03-06,8,9,8,,,1
290,6,4,4,1,4,
159,7,6,8,,,1
289,7,6,6,,,1
242,8,6,8,,,1
341,9,7,7,,,1
250,8,6,6,,,1
227,6,3,4,1,6,
20,8,7,8,,,1
152,9,7,8,,,1
2024-12-01,8,6,6,,,1
2024-05-03,6,4,6,,,1
342,7,7,7,,,1
2024-09-01,8,6,7,,,1
197,7,7,6,1,4,
252,6,5,5,,,1
304,8,7,7,,,1
2024-02-06,6,6,5,,,1
363,7,6,4,,,1
2024-09-05,7,7,6,,,1
152,5,7,4,,,1
14,7,6,7,,,1
346,8,10,,,,1
229,8,6,7,,,1
108,8,8,7,,,1
216,8,6,6,,,1
29,8,7,7,,,1
226,6,6,7,,,1
316,8,6,7,,,1
2024-06-19,7,7,6,,,1
270,5,6,4,,,1
2024-04-19,7,6,5,,,1
99,7,5,6,,,1
170,8,8,6,,,1
2024-07-08,8,6,7,,,1
2024-03-13,10,8,8,,,1
157,9,9,8,,,1
205,9,7,9,,,1
191,7,8,6,,,1
339,7,6,7,,,1
2024-01-31,7,5,6,,,1
2024-08-14,9,7,7,,,1
2024-11-07,8,6,6,,,1
148,8,6,7,,,1
2024-06-21,9,8,6,,,1
2024-02-24,7,8,6,,,1
2024-04-26,8,7,8,,,1
2024-02-26,8,6,6,,,1
295,7,6,7,,,1
2024-07-31,8,7,6,,,1
2024-06-25,8,6,5,,,1
2024-08-31,6,6,5,,,1
2024-11-21,8,6,7,,,1
2024-06-13,8,7,7,,,1
210,7,6,6,,,1
2024-07-13,7,6,6,,,1
2024-12-08,8,7,8,,,1
35,8,6,6,,,1
241,8,8,6,,,1
2024-01-08,9,8,8,,,1
42,8,6,7,,,1
190,6,6,5,,,1
2024-04-04,4,3,3,,,2
2024-09-24,6,4,3,,,3
322,8,6,6,,,1
2024-03-20,8,6,7,,,1
161,9,6,6,,,1
2024-07-20,8,7,6,,,1
161,8,8,6,,,1
200,8,7,7,,,1
154,9,8,9,,,1
170,7,6,6,,,2
25,7,5,5,,,1
2024-12-10,7,6,6,1,6,
2024-07-05,7,5,6,,,1
264,7,6,6,,,1
32,8,6,7,,,1
99,8,6,7,,,1
2024-02-03,8,7,8,,,1
232,7,7,8,,,1
2024-12-01,9,7,8,,,1
2024-09-04,8,6,7,,,1
232,9,7,6,,,1
53,8,9,7,,,1
2024-10-26,8,7,7,,,1
2024-08-31,8,6,7,,,1
2024-11-16,8,8,7,,,1
2024-05-19,7,5,5,,,1
2024-04-10,8,6,6,,,1
2024-03-24,9,7,8,,,1
2024-04-27,8,7,5,,,1
2024-12-01,8,7,6,,,1
229,7,5,6,,,3
140,5,5,,,,1
16,8,5,6,,,1
26,9,7,7,,,1
82,6,6,7,,,1
2024-11-30,8,6,6,,,1
2024-11-25,8,6,5,,,1
2024-10-04,7,6,6,,,1
2024-02-05,5,5,6,,,1
2024-03-16,8,6,6,,,1
270,8,7,6,,,1
2024-02-01,8,6,5,,,1
2024-03-15,10,8,8,,,1
2024-10-05,7,8,7,,,1
2024-03-13,9,6,6,,,1
256,8,6,7,,,1
2024-11-30,8,6,7,,,1
2024-06-24,8,6,6,,,1
236,9,7,7,,,1
291,8,7,8,,,1
2024-01-19,7,5,6,,,1
314,8,6,8,,,1
2024-02-26,6,7,7,,,1
69,7,6,6,,,1
176,7,6,7,,,1
308,6,7,6,,,1
283,6,7,6,,,1
125,8,7,6,,,1
143,7,7,8,,,1
341,7,8,7,,,1
183,6,8,7,,,1
2024-09-12,8,6,7,,,1
2024-12-30,6,6,6,,,1
323,9,7,7,,,1
160,9,7,5,,,1
195,8,7,7,,,1
132,8,6,7,,,1
2024-03-17,7,5,7,,,1
2024-12-16,8,6,6,,,1
62,8,8,7,,,1
357,8,8,8,,,1
2024-05-18,8,7,6,,,1
348,10,7,6,,,1
2024-08-20,7,6,6,,,1
2024-04-27,8,6,6,,,1
2024-09-11,9,7,6,,,1
188,7,9,8,,,1
180,8,7,6,,,1
336,8,8,8,,,1
2024-02-14,6,6,5,,,1
309,5,4,4,,,1
317,8,10,9,,,1
2024-10-22,9,9,7,,,1
158,9,8,6,,,1
272,6,8,7,,,1
2024-06-04,10,10,7,,,1
327,6,7,7,,,1
74,9,9,7,,,1
118,6,9,9,,,1
2024-01-05,8,5,6,,,1
2024-02-01,6,6,6,,,1
2024-05-22,9,8,8,,,1
2024-09-12,9,6,6,,,1
118,7,7,6,,,1
192,7,9,6,,,1
2024-08-27,9,6,7,,,1
2024-09-14,5,5,6,,,1
205,7,7,7,,,1
2024-09-09,9,6,7,,,1
281,9,9,7,,,1
285,6,8,6,,,1
217,7,9,9,,,1
2024-08-19,6,7,7,,,1
139,6,6,7,,,1
2024-01-05,7,8,7,,,1
2024-11-30,6,6,7,,,1
2024-07-15,7,7,7,,,1
345,8,8,5,,,1
2024-02-13,6,7,6,,,1
2024-10-04,8,9,10,,,1
160,9,10,9,,,1
2024-11-30,8,9,9,,,1
2024-04-04,8,9,8,,,1
201,7,8,,,,1
356,10,8,9,,,1
83,8,7,6,,,1
77,8,8,6,,,1
2024-05-16,9,9,8,,,1
2024-03-27,10,8,8,,,1
21,8,7,7,,,1
214,6,7,6,,,1
2024-10-03,8,7,,,,1
2024-01-11,8,9,8,,,1
2024-11-14,7,8,6,,,1
99,8,5,6,,,1
274,7,7,6,,,1
340,9,9,7,,,1
150,4,5,4,1,4,
2024-04-07,5,5,4,,,1
2024-02-04,7,7,6,,,1
2024-09-01,6,7,,,,1
24,7,9,9,,,1
117,7,9,7,,,1
2024-05-29,8,7,7,,,1
28,6,6,6,1,7,
61,9,9,8,,,1
2024-08-11,9,9,7,1,8,
2024-07-19,5,6,,1,5,
331,6,7,7,,,1
2024-11-22,8,8,7,,,1
274,2,1,1,1,2,
28,7,6,,,,1
2024-02-17,8,7,7,,,1
2024-05-31,8,9,9,,,1
249,8,8,9,,,1
63,7,9,8,,,1
299,6,5,2,,,1
2024-07-29,7,9,7,,,1
2024-06-04,7,7,6,1,5,
2024-05-25,7,8,7,,,1
260,7,8,8,,,1
134,7,8,7,,,1
2024-09-15,8,7,8,,,1
156,9,9,,,,1
6,8,6,6,,,1
296,8,7,7,,,1
2024-12-30,7,8,8,,,1
2024-07-23,7,7,5,1,7,
292,7,8,8,,,1
2024-05-01,7,6,6,,,1
92,7,5,6,,,1
100,7,8,6,,,1
225,8,8,7,,,1
94,6,4,5,1,5,
159,8,8,9,,,1
2024-05-29,7,6,6,,,1
2024-09-26,6,6,5,,,1
170,7,7,,,,1
44,7,8,7,,,1
2024-03-17,7,8,7,,,1
249,8,7,7,,,1
2024-10-14,7,7,7,,,1
323,8,7,7,,,1
2024-01-24,6,8,6,,,1
242,7,8,7,,,1
47,7,8,6,,,1
241,8,8,8,,,1
2024-11-29,7,8,7,,,1
2024-08-01,8,7,7,,,1
68,7,6,6,,,1
66,8,9,8,,,1
128,7,7,7,,,1
2024-03-15,9,9,9,,,1
2024-12-20,8,6,6,,,1
88,9,8,7,,,1
2024-04-18,6,7,5,1,6,
277,7,9,8,,,1
2024-11-29,8,7,7,,,1
103,9,9,8,,,1
2024-09-02,6,6,5,,,1
2024-07-05,6,5,3,,,1
199,7,8,8,,,1
2024-03-11,10,10,7,,,1
118,6,8,6,,,1
18,7,7,6,,,1
99,9,9,8,,,1
79,9,8,9,,,1
2024-04-09,9,8,7,,,1
259,7,9,9,,,1
2024-09-25,6,8,6,,,1
2024-07-15,7,8,8,,,1
178,7,8,8,,,1
303,9,9,,,,1
251,8,7,7,,,1
346,7,8,6,,,1
2024-09-07,10,9,9,,,1
210,9,8,8,,,1
301,7,7,6,,,1
2024-05-24,7,6,6,,,1
2024-07-04,8,7,7,,,1
127,7,7,6,,,1
2024-03-22,8,8,8,,,1
2024-01-26,9,8,8,,,1
2024-09-04,7,7,6,,,1
65,8,7,6,,,1
2024-11-11,7,7,6,,,1
285,8,7,7,,,1
114,7,8,7,,,1
82,8,9,8,,,1
70,7,8,7,,,1
103,8,7,7,,,1
304,8,7,7,,,1
2024-04-29,7,6,6,,,1
48,7,7,7,,,1
247,8,10,9,,,1
2024-12-28,6,6,8,,,1
2024-12-06,7,8,8,1,3,
248,7,7,8,,,1
222,8,8,7,,,1
2024-01-04,8,6,7,,,1
78,6,7,6,,,1
16,6,8,7,,,1
213,6,7,7,,,1
2024-10-13,5,2,5,1,2,
2024-03-03,8,7,7,,,1
181,6,3,5,,,2
354,7,7,7,,,1
132,8,8,7,,,1
330,8,6,6,1,8,
160,7,8,8,,,1
2024-06-23,7,6,5,,,1
25,8,8,7,,,1
2024-11-29,8,6,7,,,1
2024-05-13,9,7,7,,,1
29,8,9,8,1,5,
114,6,6,5,,,1
2024-04-29,5,5,5,,,1
2024-09-09,7,6,6,1,8,
172,8,6,5,1,6,
2024-04-16,5,5,6,,,1
12,7,6,7,1,6,
2024-04-21,9,8,8,,,1
152,8,8,7,,,3
2024-03-02,8,8,,,,4
2024-08-05,6,7,7,,,1
2024-06-22,8,8,7,,,1
2024-08-03,5,6,6,,,1
2024-07-10,7,6,6,,,1
310,7,7,7,,,1
2024-09-03,6,7,4,,,1
2024-10-28,8,9,8,,,1
36,8,7,5,,,1
2024-01-12,7,6,6,,,1
309,6,6,5,,,1
2024-02-25,6,6,6,,,3
80,7,7,5,,,1
233,7,7,7,,,1
2024-07-16,6,5,,,,1
284,7,7,6,,,1
100,7,8,7,,,1
2024-01-16,7,8,8,,,1
2024-05-18,8,8,7,,,1
283,6,7,7,,,1
2024-09-29,6,7,6,,,1
2024-05-24,7,6,7,,,1
273,8,8,8,,,1
200,8,6,7,,,1
2024-07-02,8,7,7,,,1
2024-11-13,7,8,7,,,1
305,6,6,5,1,5,
2024-07-31,8,6,7,1,9,
2024-05-23,7,5,6,,,1
2024-03-23,7,8,7,,,1
2024-12-10,6,7,5,,,1
16,8,8,7,,,1
2024-05-21,7,5,5,,,1
296,7,6,7,,,1
2024-11-22,5,5,6,,,1
13,6,8,8,,,1
184,6,8,6,,,1
2024-05-30,8,6,6,,,1
200,8,7,7,,,1
186,7,9,8,,,1
328,5,7,7,,,1
354,8,8,7,,,1
55,8,7,6,,,1
2024-11-05,8,6,6,,,1
287,7,7,5,,,1
143,8,5,5,1,7,
2024-08-06,6,7,7,,,1
2024-10-23,7,7,6,,,1
98,8,6,7,,,1
2024-11-30,7,5,5,,,1
279,8,6,7,,,1
30,7,7,6,,,1
2024-02-15,6,7,5,,,1
2024-05-15,6,6,7,,,1
174,8,7,7,,,1
100,6,7,6,,,1
2024-12-08,8,7,7,,,1
2024-11-14,7,6,6,,,1
2024-07-19,7,8,7,,,1
2024-02-15,7,8,8,,,1
2024-12-24,6,8,7,,,1
2024-07-11,7,8,6,,,1
255,7,6,7,,,1
2024-11-28,7,6,6,,,1
2024-06-15,8,8,6,,,1
201,8,7,6,,,1
144,6,8,9,,,1
2024-04-24,7,7,6,,,1
140,6,6,6,,,1
356,7,7,7,,,1
269,9,7,7,,,1
2024-10-02,6,6,7,,,1
2024-07-21,7,7,7,,,1
2024-07-08,6,6,7,,,1
338,8,8,9,,,1
30,9,8,9,,,1
232,6,6,6,,,1
2024-12-05,6,7,6,,,1
2024-09-25,7,6,7,,,1
324,9,8,7,,,1
2024-03-28,7,9,9,,,1
2024-07-11,9,8,9,,,1
2024-12-01,9,10,9,,,1
4,6,7,6,,,1
2024-04-20,7,6,7,,,1
2024-06-22,7,9,8,,,1
171,8,9,7,,,1
337,7,9,5,,,1
2024-03-18,9,7,8,,,1
2024-04-13,4,2,2,,,2
2024-10-12,8,7,6,,,1
20,7,6,6,,,1
2024-12-08,9,9,8,,,1
2024-07-09,7,5,5,,,1
292,7,6,6,,,1
2024-06-08,8,7,7,,,1
2024-10-10,7,7,8,,,1
2024-07-30,8,7,6,,,1
2024-07-25,8,6,8,,,1
30,8,6,7,,,1
265,7,6,6,,,1
141,7,6,4,,,1
2024-10-04,7,5,4,,,1
2024-08-18,8,6,6,,,1
319,8,7,5,,,1
175,9,9,8,,,1
284,7,4,6,,,1
165,8,6,8,,,1
2024-12-06,6,3,5,,,1
2024-04-20,6,6,4,,,2
2024-09-16,7,5,4,,,1
2024-08-24,8,6,6,,,1
39,7,5,5,,,1
2024-08-07,8,6,6,,,1
2024-09-05,6,4,5,,,1
218,5,3,3,1,6,
2024-12-13,6,7,5,1,6,
2024-12-18,6,4,4,,,1
354,9,6,8,,,1
351,8,7,7,,,1
329,5,5,3,1,6,
2024-08-12,7,5,6,,,1
136,7,5,5,,,1
10,8,6,7,,,1
2024-01-06,6,5,5,,,1
2024-12-29,6,7,5,,,1
2024-12-05,7,6,5,,,1
242,7,5,6,,,1
192,5,5,4,,,1
235,7,7,8,,,1
2024-08-22,6,4,5,,,1
2024-04-09,7,5,5,,,1
2024-06-11,7,5,5,,,1
2024-05-27,8,6,7,,,1
251,8,7,6,,,1
2024-03-24,8,6,7,,,1
26,6,7,4,,,1
247,6,7,5,,,1
65,9,9,7,,,1
311,8,7,7,,,1
268,7,5,6,1,7,
41,6,7,5,,,1
2024-05-10,9,7,7,,,1
2024-06-14,6,7,7,0,,1
2024-03-12,8,8,9,0,,1
227,8,8,9,0,,1
2024-07-08,7,8,8,0,,1
2024-09-23,8,8,7,0,,1
2024-02-02,6,5,5,0,,2
2024-04-02,7,7,5,0,,1
364,7,8,6,0,,1
2024-03-27,9,6,5,0,,1
2024-03-09,9,7,6,0,,1
83,10,8,8,0,,1
2024-08-01,8,8,6,0,,1
84,5,5,5,0,,1
2024-05-29,5,5,4,0,,2
127,10,9,10,0,,1
190,8,6,5,0,,1
2024-07-22,7,6,7,0,,1
2024-03-22,8,8,8,0,,1
159,8,5,6,1,10,
191,1,1,1,1,1,
111,9,7,8,0,,1
349,8,8,9,0,,1
2024-11-12,8,9,8,0,,1
2024-06-19,5,5,,0,,1
269,8,8,7,0,,1
103,7,7,5,0,,1
2024-03-15,8,7,6,0,,2
2024-03-04,7,5,8,0,,1
2024-04-02,7,8,6,1,9,
271,9,9,7,0,,1
352,7,8,8,0,,1
216,7,7,6,0,,1
2024-01-26,7,6,8,0,,1
2024-07-26,5,7,5,0,,1
231,7,5,,0,,1
170,7,7,8,0,,1
2024-06-07,8,6,8,0,,1
280,6,5,5,0,,2
2024-07-14,6,6,5,0,,2
2024-05-18,6,6,6,0,,1
2024-04-13,5,5,5,0,,2
2024-04-12,7,6,7,0,,1
2024-07-22,7,8,7,0,,1
345,7,8,8,0,,1
19,8,8,9,0,,1
158,8,9,9,0,,1
2024-01-05,8,8,9,0,,1
2024-10-03,6,7,8,0,,1
2024-10-01,6,5,6,0,,1
2024-06-25,9,8,7,0,,1
2024-02-27,8,9,8,0,,1
2024-05-06,3,2,1,1,6,
93,6,6,6,0,,1
87,7,5,,0,,1
2024-06-05,6,6,,0,,1
2024-06-04,7,8,8,0,,1
2024-11-05,6,5,4,0,,3
350,8,8,6,0,,1
2024-04-02,8,7,3,0,,1
140,4,5,2,1,7,
62,6,5,5,0,,1
254,7,7,5,0,,1
357,7,7,7,0,,2
290,6,7,6,0,,1
2024-01-16,6,4,7,0,,1
301,8,6,8,1,8,
2024-01-03,5,6,7,0,,1
2024-07-22,8,6,5,0,,1
277,8,6,5,0,,1
2024-02-17,8,8,6,0,,1
136,6,6,7,0,,1
173,9,8,10,0,,1
2024-04-03,7,6,7,0,,1
313,8,9,9,0,,1
191,8,8,6,0,,1
18,7,6,6,0,,1
246,8,7,7,0,,1
82,4,6,4,1,6,
2024-02-08,7,6,6,0,,1
2024-11-04,6,6,5,1,7,
2024-11-29,8,8,8,0,,1
12,6,5,4,0,,3
155,8,7,7,0,,1
12,5,5,5,0,,3
323,6,6,6,0,,2
120,6,5,8,0,,1
2024-12-29,9,7,7,0,,1
359,7,9,9,0,,1
2024-12-08,9,7,6,0,,1
267,7,6,9,0,,1
312,7,4,7,1,6,
30,7,7,9,0,,1
310,7,8,9,0,,1
2024-01-01,6,5,7,0,,1
164,7,8,7,0,,1
2024-03-30,9,7,6,0,,1
322,7,7,7,0,,1
2024-09-03,8,8,,0,,1
2024-09-21,6,6,3,0,,2
218,7,7,5,0,,2
299,7,,5,0,,2
2024-04-21,5,5,,0,,2
25,8,8,6,0,,1
2024-06-04,2,2,4,0,,3
2024-12-03,8,7,8,0,,1
2024-05-06,5,6,7,0,,1
348,9,6,9,0,,1
2024-09-25,4,2,4,0,,3
299,5,6,6,0,,1
2024-11-20,5,4,5,0,,2
358,10,8,8,0,,1
2024-03-29,9,7,7,0,,1
97,7,8,6,0,,1
221,8,6,5,0,,1
2024-03-26,7,5,8,0,,1
127,6,6,8,0,,1
16,2,1,1,1,1,
66,7,7,6,0,,1
2024-10-08,7,8,6,0,,1
2024-04-25,6,4,5,1,5,
95,7,7,8,0,,1
129,8,8,9,0,,1
364,4,3,3,0,,3
338,8,5,5,1,8,
2024-08-19,8,6,5,0,,1
2024-05-23,8,8,9,0,,1
2024-01-25,6,7,8,0,,1
2024-02-24,9,9,10,0,,1
198,8,7,7,0,,1
101,7,6,5,0,,1
275,7,8,6,0,,1
2024-12-09,8,9,7,1,7,
2024-06-07,8,6,,0,,1
2024-05-10,7,7,9,0,,1
174,6,6,8,0,,1
114,5,7,5,0,,1
2024-02-22,8,8,8,0,,1
2024-10-09,7,8,7,0,,1
2024-06-08,6,7,7,0,,1
2024-11-10,6,7,8,0,,1
2024-01-02,7,6,6,0,,1
2024-06-06,6,6,6,0,,1
2024-02-21,6,8,7,0,,1
2024-05-31,7,5,5,0,,1
238,9,8,8,0,,1
7,6,7,5,0,,1
2024-02-22,7,7,7,0,,1
2024-08-28,6,6,8,0,,1
316,7,7,6,0,,1
2024-05-08,8,8,9,0,,1
58,7,6,6,0,,1
270,6,6,7,0,,1
2024-03-23,6,6,9,0,,1
2024-11-27,9,7,9,0,,1
2024-11-12,8,7,7,0,,1
2024-08-10,7,6,8,0,,1
2024-06-13,6,7,8,0,,1
152,6,5,3,1,6,
2024-09-27,7,7,8,0,,1
2024-06-13,7,6,7,0,,1
12,5,7,6,0,,1
2024-10-26,8,6,6,0,,1
364,8,6,9,0,,1
193,7,6,7,0,,1
238,3,3,2,1,3,
246,8,7,8,0,,1
2024-06-01,10,8,7,0,,1
2024-01-25,6,7,8,0,,1
2024-01-30,8,6,5,0,,1
75,8,7,8,0,,1
2024-10-14,6,6,7,0,,1
2024-04-24,7,6,6,0,,1
2024-03-15,9,9,9,1,8,
28,7,7,8,0,,1
2024-10-13,7,7,5,0,,1
252,7,6,6,0,,1
2024-02-08,6,6,6,0,,1
2024-06-14,9,8,10,0,,1
346,7,6,7,0,,1
2024-05-22,8,6,5,0,,1
2024-02-07,7,7,6,0,,1
2024-05-03,7,7,6,0,,1
2024-05-20,9,9,8,0,,1
333,7,8,7,0,,1
2024-05-29,7,7,6,0,,1
2024-04-21,7,7,6,0,,1
108,8,9,8,0,,1
208,7,5,7,0,,1
2024-12-20,6,6,6,0,,1
49,8,7,7,0,,1
278,7,8,7,0,,1
2024-05-31,7,7,9,0,,1
2024-10-11,7,8,8,0,,1
240,8,7,7,0,,1
347,7,9,10,0,,1
284,7,7,5,0,,1
2024-01-19,8,7,9,0,,1
331,7,6,8,0,,1
143,7,8,6,0,,1
2024-03-30,9,9,10,1,4,
15,7,7,8,0,,1
173,7,9,8,0,,1
91,8,6,6,0,,1
301,6,5,7,0,,1
2024-05-19,7,6,6,0,,1
2024-06-04,9,8,8,0,,1
2024-12-25,9,8,5,0,,1
235,7,6,7,0,,1
2024-04-09,5,3,4,0,,1
154,9,9,10,1,8,
111,7,5,6,0,,1
2024-04-01,8,9,9,0,,1
2024-05-01,7,6,7,0,,1
2024-12-02,7,6,8,0,,1
2024-08-11,8,8,7,0,,1
107,6,6,5,0,,1
2024-08-18,7,7,9,0,,1
2024-04-10,7,7,6,0,,1
176,8,8,7,0,,1
217,7,5,7,0,,1
193,8,6,6,0,,1
2024-11-09,6,9,8,0,,1
2024-09-13,8,8,8,0,,1
341,8,6,6,0,,1
2024-07-27,6,8,6,0,,1
2024-01-21,9,9,8,0,,1
2024-07-22,7,7,6,0,,1
228,6,7,,0,,1
2024-06-13,8,8,7,0,,1
137,9,9,8,0,,1
2024-07-12,5,6,5,1,6,
191,7,7,7,0,,1
13,9,8,9,1,9,
220,9,10,10,1,7,
330,5,3,6,1,5,
2024-09-21,9,8,9,0,,1
2024-11-25,5,5,5,0,,3
122,8,8,7,0,,1
353,3,3,4,0,,4
306,6,6,8,0,,1
2024-04-16,6,6,6,0,,1
342,8,9,9,0,,1
300,9,6,7,0,,1
2024-04-18,7,7,6,0,,1
2024-01-06,8,,,0,,1
67,6,8,7,0,,1
319,5,5,5,0,,1
299,7,6,6,1,6,
175,9,8,7,0,,1
344,8,9,9,0,,1
101,7,7,6,0,,1
2024-07-20,8,6,5,0,,1
338,8,6,7,0,,1
359,7,6,7,0,,1
52,8,8,6,0,,1
2024-10-03,7,5,5,0,,1
2024-05-11,6,6,7,1,5,
193,7,6,7,0,,1
2024-07-26,6,5,5,0,,1
93,6,8,6,0,,1
210,6,6,5,0,,1
2024-02-11,3,3,1,1,3,
305,8,6,6,0,,1
2024-11-03,4,4,3,0,,1
255,6,7,7,0,,1
2024-12-22,9,6,8,0,,1
286,8,8,6,0,,1
362,4,4,5,0,,1
223,7,7,6,0,,1
2024-01-28,6,5,5,0,,1
198,8,8,7,0,,1
181,7,9,,0,,1
309,8,7,8,0,,1
2024-10-02,7,9,7,0,,1
84,8,6,6,0,,1
2024-11-19,6,6,6,0,,1
2024-09-29,7,7,7,0,,1
2024-01-24,7,7,7,0,,1
31,7,7,8,0,,1
2024-03-29,9,8,9,0,,1
2024-12-12,8,8,5,0,,1
2024-01-07,7,7,8,0,,1
2024-03-28,8,8,8,0,,1
51,8,8,9,0,,1
2024-12-29,6,6,6,0,,1
2024-07-18,6,6,6,0,,1
273,6,6,6,0,,1
38,6,5,5,0,,3
102,7,6,,0,,2
2024-02-01,7,7,7,0,,1
216,8,8,8,0,,1
256,8,8,9,0,,1
2024-09-23,8,8,6,0,,1
199,8,6,7,0,,1
196,7,7,7,0,,1
2024-01-20,6,6,5,0,,2
2024-08-24,8,6,6,0,,1
28,6,6,5,0,,1
166,8,8,5,0,,1
13,7,5,4,0,,1
301,9,7,7,0,,1
2024-01-06,9,7,7,0,,1
2024-08-04,7,7,7,0,,1
2024-12-01,9,9,8,0,,1
2024-10-24,6,6,8,0,,1
2024-04-27,6,6,6,0,,1
60,9,9,6,0,,1
2024-11-09,6,5,5,0,,2
292,5,5,,0,,3
154,8,6,8,0,,1
2024-09-17,7,8,8,0,,1
110,8,8,9,0,,1
133,8,9,8,0,,1
2024-12-03,8,10,8,0,,1
2024-07-10,8,7,7,0,,1
311,10,10,10,0,,1
2024-09-08,4,5,4,0,,3
2024-11-20,7,7,9,0,,1
2024-05-17,8,7,7,0,,1
2024-03-20,7,8,8,0,,1
2024-12-14,7,8,7,0,,1
44,9,8,7,0,,1
272,5,5,3,1,5,
2024-05-15,6,7,8,0,,1
2024-08-11,7,7,8,0,,1
346,8,7,6,0,,1
332,8,8,5,0,,1
2024-09-16,7,6,6,0,,1
2024-10-24,5,6,4,1,7,
2024-12-11,8,7,7,0,,1
104,9,8,6,0,,1
217,6,5,3,0,,1
41,6,5,5,0,,1
286,5,4,5,1,7,
2024-07-30,8,9,6,0,,1
2024-07-18,7,7,7,0,,1
363,7,5,5,0,,1
125,8,8,6,0,,1
2024-09-21,8,7,7,0,,1
2024-08-06,8,8,9,0,,1
2024-10-25,9,7,7,0,,1
107,7,6,8,0,,1
